periodo,periodo_fecha,categoria_ramo,prima_neta,var_pct_mom
2024-11,2024-11-01,Accidentes Personales,140490419.0,-527.4697562778518
2024-11,2024-11-01,Asistencias,295671571.0,1.2264376921086395
2024-11,2024-11-01,Autos,72352545074.0,16.12550049814372
2024-11,2024-11-01,Cumplimiento,7058099838.000001,-32.44335269180188
2024-11,2024-11-01,Daños Materiales,6641180660.969953,-3.579186401588519
2024-11,2024-11-01,Exequias,410391083.0,15.556569275497555
2024-11,2024-11-01,Hogar,5062787905.0,-7.459497285598138
2024-11,2024-11-01,Ingeniería,233782403.0,169.68599012639652
2024-11,2024-11-01,Manejo / Riesgos Financieros,246621168.0,-4.094878096542088
2024-11,2024-11-01,Otros,272081351.0,-44.37294861827276
2024-11,2024-11-01,PYME / Multiriesgo,2555026975.81003,-4.651632812230611
2024-11,2024-11-01,Responsabilidad Civil,2473070174.0,-74.43245460244428
2024-11,2024-11-01,SOAT,2593737600.0,-19.311222682771334
2024-11,2024-11-01,Salud,3896472712.0,-6.226844397808451
2024-11,2024-11-01,Transporte / Navegación,360197679.0,32.83984414665853
2024-11,2024-11-01,Vida,11785350821.529518,5.673650855877743
2024-12,2024-12-01,Accidentes Personales,143356436.0,2.04000886352258
2024-12,2024-12-01,Asistencias,519440219.0,75.68148917502793
2024-12,2024-12-01,Autos,65319989994.0,-9.71984478611957
2024-12,2024-12-01,Cumplimiento,949087942.9999999,-86.55320886947193
2024-12,2024-12-01,Daños Materiales,7471709357.279938,12.505738643596631
2024-12,2024-12-01,Exequias,414807087.0,1.0760477463882978
2024-12,2024-12-01,Hogar,4821743718.0,-4.761095892678913
2024-12,2024-12-01,Ingeniería,-13241394.0,-105.66398233146744
2024-12,2024-12-01,Manejo / Riesgos Financieros,-307602388.0,-224.72667715206018
2024-12,2024-12-01,Otros,6267176136.0,2203.41995618803
2024-12,2024-12-01,PYME / Multiriesgo,3935101054.689938,54.014070768954525
2024-12,2024-12-01,Responsabilidad Civil,2590800653.7,4.760498951373471
2024-12,2024-12-01,SOAT,3304630200.0,27.408038500116593
2024-12,2024-12-01,Salud,4419394916.0,13.420399490789503
2024-12,2024-12-01,Transporte / Navegación,1008797424.25,180.06771921759105
2024-12,2024-12-01,Vida,11897133247.149487,0.9484861953855894
2025-01,2025-01-01,Accidentes Personales,1064248205.0,642.3790899768184
2025-01,2025-01-01,Asistencias,295918398.0,-43.031288842114094
2025-01,2025-01-01,Autos,57004674418.0,-12.730123774917612
2025-01,2025-01-01,Cumplimiento,7894076636.0,731.75396908398
2025-01,2025-01-01,Daños Materiales,6449350585.989974,-13.683063973759168
2025-01,2025-01-01,Exequias,523761039.0,26.26617418424193
2025-01,2025-01-01,Hogar,4621773308.0,-4.147263349014018
2025-01,2025-01-01,Ingeniería,37446616.0,-382.7996508524707
2025-01,2025-01-01,Manejo / Riesgos Financieros,676747116.0,-320.0071073570469
2025-01,2025-01-01,Otros,3608857716.0,-42.41652639583641
2025-01,2025-01-01,PYME / Multiriesgo,2625894471.389985,-33.269960926152386
2025-01,2025-01-01,Responsabilidad Civil,1464835553.3500001,-43.46012105338847
2025-01,2025-01-01,SOAT,2720674100.0,-17.670845591134523
2025-01,2025-01-01,Salud,3795529732.0,-14.116529431243075
